Date,Open,High,Low,Close,Volume
2021-03-01 13:30:00,64.875,64.875,64.875,64.875,10.0
2021-03-02 09:30:00,64.0,64.5,64.0,64.5,21250.0
2021-03-02 13:30:00,64.3,64.3,64.1,64.2,2040.0
2021-03-03 13:30:00,64.1,64.1,64.0,64.0,280.0
2021-03-04 09:30:00,64.975,64.975,63.5,63.5,5020.0
2021-03-04 13:30:00,63.5,63.5,63.5,63.5,60.0
2021-03-05 09:30:00,63.5,64.925,60.95,61.0,1838560.0
2021-03-05 13:30:00,61.0,61.0,61.0,61.0,21200.0
2021-03-08 09:30:00,63.775,63.775,61.5,61.5,220.0
2021-03-08 13:30:00,63.5,63.5,63.5,63.5,310.0
2021-03-09 09:30:00,63.0,63.1,62.5,62.5,20870.0
2021-03-09 13:30:00,62.025,62.9,61.7,62.9,610.0
2021-03-10 09:30:00,62.6,62.6,61.95,62.6,290.0
2021-03-10 13:30:00,62.6,62.6,61.9,61.9,5610.0
2021-03-12 09:30:00,63.775,63.775,62.0,62.425,1490.0
2021-03-12 13:30:00,62.425,62.425,62.0,62.0,5010.0
2021-03-15 09:30:00,63.675,71.0,62.1,64.3,40050.0
2021-03-15 13:30:00,63.5,64.2,63.5,64.2,23300.0
2021-03-16 09:30:00,62.1,62.1,62.1,62.1,40.0
2021-03-17 09:30:00,62.1,62.1,61.85,61.9,7700.0
2021-03-17 13:30:00,61.9,62.0,61.6,61.6,4420.0
2021-03-18 09:30:00,61.6,62.0,61.6,62.0,1500.0
2021-03-18 13:30:00,62.0,62.0,62.0,62.0,1590.0
2021-03-19 09:30:00,61.6,61.6,61.0,61.0,3050.0
2021-03-19 13:30:00,61.1,61.1,61.1,61.1,100.0
2021-03-22 09:30:00,62.0,62.0,61.5,61.5,260.0
2021-03-22 13:30:00,61.5,62.0,61.15,62.0,2100.0
2021-03-23 09:30:00,61.05,61.05,60.0,60.1,16940.0
2021-03-23 13:30:00,61.0,61.0,61.0,61.0,30.0
2021-03-24 09:30:00,62.5,62.5,62.5,62.5,10.0
2021-03-24 13:30:00,60.6,60.625,60.6,60.625,1370.0
2021-03-25 09:30:00,60.625,62.5,60.625,62.5,130.0
2021-03-25 13:30:00,62.25,62.5,61.0,62.5,330.0
2021-03-29 09:30:00,62.5,62.5,62.5,62.5,400.0
2021-03-29 13:30:00,62.475,62.475,62.2,62.2,50.0
2021-03-30 09:30:00,62.3,62.3,62.3,62.3,10.0
2021-03-30 13:30:00,61.5,61.5,61.5,61.5,200.0
2021-03-31 09:30:00,62.0,62.2,62.0,62.0,2190.0
2021-04-01 09:30:00,62.3,62.3,62.0,62.0,6020.0
2021-04-01 13:30:00,61.9,61.9,61.9,61.9,10.0
2021-04-05 09:30:00,62.3,62.3,62.0,62.0,6260.0
2021-04-05 13:30:00,62.0,62.0,61.7,61.7,1970.0
2021-04-06 09:30:00,62.3,62.3,62.2,62.2,120.0
2021-04-06 13:30:00,62.2,62.2,62.2,62.2,10.0
2021-04-07 09:30:00,61.8,62.2,61.8,61.8,1480.0
2021-04-07 13:30:00,61.8,61.8,61.8,61.8,200.0
2021-04-08 09:30:00,62.2,62.2,61.3,61.3,1970.0
2021-04-08 13:30:00,61.875,61.875,61.875,61.875,40.0
2021-04-09 09:30:00,61.25,61.5,61.1,61.3,28240.0
2021-04-09 13:30:00,61.3,61.3,61.2,61.2,1150.0
2021-04-12 09:30:00,62.3,62.3,60.0,60.0,252360.0
2021-04-12 13:30:00,60.0,60.1,60.0,60.0,127940.0
2021-04-15 09:30:00,60.025,60.025,60.0,60.0,11910.0
2021-04-15 13:30:00,60.0,60.0,59.975,59.975,40380.0
2021-04-16 09:30:00,59.975,59.975,59.5,59.5,19040.0
2021-04-16 13:30:00,59.5,59.975,59.0,59.975,510830.0
2021-04-19 09:30:00,59.975,59.975,59.925,59.925,400.0
2021-04-19 13:30:00,59.7,59.7,59.55,59.55,1010.0
2021-04-20 09:30:00,59.55,59.975,58.9,59.0,39430.0
2021-04-20 13:30:00,58.9,59.0,58.9,58.9,56410.0
2021-04-21 09:30:00,58.5,58.6,58.4,58.5,261770.0
